# Undirected 3-regular random graph, seed 28
n = 400
0 : 150w2 271w48 357w34 389w35
1 : 60w32 155w55 178w30 373w12
2 : 77w35 229w33 339w17 395w20
3 : 75w57 130w27 140w97 355w42
4 : 62w54 81w29 174w30 290w9
5 : 20w32 72w62 247w50 271w81
6 : 18w47 50w46 184w48 248w55
7 : 25w97 129w4 326w51 361w15
8 : 220w25 339w73 356w100 387w21
9 : 147w72 232w33 274w54 343w42
10 : 51w12 66w96 276w22 323w81
11 : 31w88 175w9 344w60 353w39
12 : 212w1 312w93 329w65 385w26
13 : 60w77 135w80 286w95 344w62
14 : 108w43 146w71 251w54 365w4
15 : 91w53 163w73 173w94 276w37
16 : 69w91 108w47 237w2 348w48
17 : 101w75 196w44 306w42 329w10
18 : 6w47 150w34 310w41 398w17
19 : 23w7 89w59 95w21 157w60
20 : 5w32 261w83 319w1 365w56
21 : 211w67 216w3 232w97 383w25
22 : 136w85 195w53 236w76 265w14
23 : 19w7 98w16 101w75 324w96
24 : 158w36 291w3 295w64 387w74
25 : 7w97 201w13 214w61 288w9
26 : 132w87 189w92 275w64 303w24
27 : 145w93 151w8 200w18 333w29
28 : 45w55 164w3 241w54 351w69
29 : 120w67 200w88 288w19 340w87
30 : 42w91 96w34 153w70 379w31
31 : 11w88 97w16 112w38 346w99
32 : 189w17 199w75 245w62 328w26
33 : 206w40 235w85 240w17 321w32
34 : 36w53 133w62 195w74 374w27
35 : 121w77 325w64 345w45 368w77
36 : 34w53 44w25 96w48 287w31
37 : 155w20 368w100 393w58 397w9
38 : 65w82 117w31 164w66 222w94
39 : 181w43 185w3 207w2 273w60
40 : 45w35 243w25 270w46 306w13
41 : 125w12 252w39 326w41 358w82
42 : 30w91 249w84 254w48 276w8
43 : 86w96 115w92 180w6 395w37
44 : 36w25 231w53 268w76 363w10
45 : 28w55 40w35 98w51 299w17
46 : 177w3 200w59 353w72 386w39
47 : 80w45 151w40 229w24 284w75
48 : 141w98 149w90 205w83 272w80
49 : 212w89 222w59 332w78 345w40
50 : 6w46 261w17 359w47 392w27
51 : 10w12 54w56 62w57 309w62
52 : 142w61 178w82 236w88 366w76
53 : 194w32 257w68 331w28 386w0
54 : 51w56 149w48 227w23 393w85
55 : 85w82 225w19 260w49 290w50
56 : 172w38 199w54 256w5 308w64
57 : 104w17 126w39 289w39 374w10
58 : 122w85 176w21 206w48 313w45
59 : 200w96 324w79 345w26 377w55
60 : 1w32 13w77 181w20 308w46
61 : 130w100 139w87 277w75 307w46
62 : 4w54 51w57 146w78 355w32
63 : 65w100 97w61 270w1 357w15
64 : 165w7 236w57 256w70 259w37
65 : 38w82 63w100 78w54 310w73
66 : 10w96 161w18 186w31 225w62
67 : 111w21 175w17 296w21 364w18
68 : 159w54 248w89 253w69 366w62
69 : 16w91 75w40 76w33 337w66
70 : 169w84 190w38 238w19 383w75
71 : 88w73 257w97 283w78 287w10
72 : 5w62 127w11 209w59 302w68
73 : 95w62 243w55 300w68 346w10
74 : 160w96 235w17 351w53 371w73
75 : 3w57 69w40 263w37 395w96
76 : 69w33 119w62 176w87 294w84
77 : 2w35 110w64 233w43 385w4
78 : 65w54 87w55 343w22 376w89
79 : 247w81 301w40 311w39 360w32
80 : 47w45 188w96 216w2 223w68
81 : 4w29 123w80 151w47 177w43
82 : 87w26 113w92 163w28 357w50
83 : 107w3 296w90 322w63 369w26
84 : 190w54 217w18 220w73 280w78
85 : 55w82 194w85 340w31 370w60
86 : 43w96 134w63 259w63 311w83
87 : 78w55 82w26 293w59 396w29
88 : 71w73 160w58 298w67 304w59
89 : 19w59 226w66 316w58 391w43
90 : 98w63 132w25 178w31 221w95
91 : 15w53 211w54 213w88 350w56
92 : 129w56 166w84 336w0 373w14
93 : 149w62 199w34 292w45 399w63
94 : 99w76 129w59 314w54 336w8
95 : 19w21 73w62 286w98 308w68
96 : 30w34 36w48 187w89 390w37
97 : 31w16 63w61 123w61 255w30
98 : 23w16 45w51 90w63 382w57
99 : 94w76 231w52 284w63 378w1
100 : 139w42 162w97 253w90 267w84
101 : 17w75 23w75 205w53 285w35
102 : 111w41 148w8 194w70 271w83
103 : 161w1 165w28 245w94 258w49
104 : 57w17 232w69 304w64 378w66
105 : 121w74 160w90 205w43 379w64
106 : 154w86 174w35 274w46 368w84
107 : 83w3 183w20 198w85 319w6
108 : 14w43 16w47 133w54 283w49
109 : 124w47 151w41 236w16 340w55
110 : 77w64 121w54 158w19 244w66
111 : 67w21 102w41 217w56 273w7
112 : 31w38 199w8 353w59 382w6
113 : 82w92 189w86 215w81 229w77
114 : 182w99 203w53 209w44 270w62
115 : 43w92 136w4 167w55 348w83
116 : 144w90 198w29 216w100 242w37
117 : 38w31 167w61 219w72 298w97
118 : 165w69 182w14 253w58 389w94
119 : 76w62 226w12 341w35 384w64
120 : 29w67 156w0 179w25 307w53
121 : 35w77 105w74 110w54 201w73
122 : 58w85 128w48 230w84 278w77
123 : 81w80 97w61 183w86 309w68
124 : 109w47 126w92 139w8 225w58
125 : 41w12 208w70 264w84 289w11
126 : 57w39 124w92 190w39 242w75
127 : 72w11 137w10 271w6 305w7
128 : 122w48 170w82 197w40 280w86
129 : 7w4 92w56 94w59 300w28
130 : 3w27 61w100 231w53 358w32
131 : 168w73 246w74 262w81 384w8
132 : 26w87 90w25 153w88 169w67
133 : 34w62 108w54 213w18 219w16
134 : 86w63 307w14 371w42 380w94
135 : 13w80 259w43 352w37 397w59
136 : 22w85 115w4 184w0 328w52
137 : 127w10 197w41 250w20 278w97
138 : 206w46 220w52 300w6 376w55
139 : 61w87 100w42 124w8 389w30
140 : 3w97 165w96 238w43 299w61
141 : 48w98 260w80 359w48 375w65
142 : 52w61 246w14 387w91 388w25
143 : 193w84 302w69 321w55 389w44
144 : 116w90 244w98 269w2 380w63
145 : 27w93 154w67 213w92 216w30
146 : 14w71 62w78 329w77 375w39
147 : 9w72 227w95 305w37 358w75
148 : 102w8 249w67 285w27 369w70
149 : 48w90 54w48 93w62 339w41
150 : 0w2 18w34 188w15 354w22
151 : 27w8 47w40 81w47 109w41
152 : 177w8 180w44 264w4 387w90
153 : 30w70 132w88 298w25 326w81
154 : 106w86 145w67 171w81 288w51
155 : 1w55 37w20 230w39 272w61
156 : 120w0 257w39 336w21 363w10
157 : 19w60 167w79 210w42 309w28
158 : 24w36 110w19 277w10 286w88
159 : 68w54 162w8 219w45 337w45
160 : 74w96 88w58 105w90 292w28
161 : 66w18 103w1 218w45 234w94
162 : 100w97 159w8 312w95 364w87
163 : 15w73 82w28 257w10 394w55
164 : 28w3 38w66 255w64 369w32
165 : 64w7 103w28 118w69 140w96
166 : 92w84 297w48 332w46 383w28
