# Undirected 3-regular random graph, seed 26
n = 200
0 : 12w85 44w59 74w73 78w46
1 : 34w60 97w55 107w5 109w18
2 : 42w40 80w83 141w1 186w92
3 : 118w40 119w1 140w35 141w23
4 : 51w22 74w99 120w95 134w97
5 : 17w33 67w22 144w53 170w24
6 : 55w37 124w40 126w0 129w1
7 : 18w35 65w13 76w59 156w12
8 : 29w18 62w17 101w4 109w72
9 : 11w11 32w8 98w34 189w28
10 : 19w80 81w79 102w24 133w40
11 : 9w11 23w44 29w35 145w34
12 : 0w85 101w65 149w68 177w87
13 : 17w3 37w89 190w1 191w69
14 : 26w26 80w82 100w98 198w50
15 : 50w95 145w50 167w26 172w71
16 : 39w3 54w4 68w71 182w55
17 : 5w33 13w3 43w93 154w53
18 : 7w35 20w40 43w65 128w66
19 : 10w80 125w70 146w44 175w100
20 : 18w40 63w67 163w34 193w19
21 : 61w45 82w59 100w95 198w43
22 : 73w5 97w57 115w60 133w31
23 : 11w44 39w3 101w71 195w40
24 : 38w42 88w25 118w90 165w96
25 : 39w23 47w32 108w15 197w64
26 : 14w26 27w71 90w53 182w5
27 : 26w71 58w87 129w3 147w65
28 : 43w82 84w12 113w36 173w30
29 : 8w18 11w35 33w96 64w8
30 : 77w22 87w15 130w79 186w41
31 : 51w70 81w58 84w57 195w84
32 : 9w8 83w91 92w16 103w34
33 : 29w96 58w90 61w4 112w31
34 : 1w60 40w40 61w48 147w52
35 : 39w86 73w43 135w74 155w90
36 : 37w81 91w58 98w98 196w98
37 : 13w89 36w81 102w74 105w31
38 : 24w42 91w9 125w43 167w82
39 : 16w3 23w3 25w23 35w86
40 : 34w40 45w12 161w94 185w85
41 : 47w8 132w20 164w79 195w0
42 : 2w40 93w49 113w94 189w95
43 : 17w93 18w65 28w82 111w90
44 : 0w59 139w16 154w47 187w56
45 : 40w12 57w15 82w95 188w79
46 : 47w31 62w86 65w76 151w8
47 : 25w32 41w8 46w31 108w7
48 : 53w41 153w39 176w100 193w3
49 : 63w28 93w85 119w56 156w92
50 : 15w95 66w6 113w39 180w93
51 : 4w22 31w70 63w81 158w15
52 : 126w64 145w73 148w58 175w46
53 : 48w41 65w59 66w57 91w95
54 : 16w4 109w60 139w44 161w20
55 : 6w37 116w55 150w62 158w63
56 : 77w14 79w29 81w8 175w58
57 : 45w15 121w37 156w69 179w12
58 : 27w87 33w90 95w22 98w34
59 : 70w66 99w19 100w83 178w33
60 : 77w10 120w95 164w72 165w64
61 : 21w45 33w4 34w48 135w76
62 : 8w17 46w86 89w8 159w2
63 : 20w67 49w28 51w81 107w51
64 : 29w8 89w23 152w58 189w13
65 : 7w13 46w76 53w59 111w96
66 : 50w6 53w57 97w49 160w75
67 : 5w22 83w92 160w69 181w81
68 : 16w71 116w60 128w23 178w77
69 : 72w47 115w20 122w3 136w90
70 : 59w66 150w52 159w61 176w61
71 : 72w10 94w35 106w78 159w90
72 : 69w47 71w10 85w91 142w15
73 : 22w5 35w43 152w24 171w18
74 : 0w73 4w99 118w49 124w66
75 : 115w58 128w57 147w82 155w5
76 : 7w59 161w96 176w75 179w1
77 : 30w22 56w14 60w10 130w10
78 : 0w46 140w84 163w20 178w48
79 : 56w29 132w78 148w61 162w51
80 : 2w83 14w82 102w28 169w92
81 : 10w79 31w58 56w8 177w74
82 : 21w59 45w95 95w99 184w88
83 : 32w91 67w92 110w10 160w45
84 : 28w12 31w57 95w81 153w75
85 : 72w91 106w15 147w48 194w15
86 : 96w54 108w44 143w85 184w4
87 : 30w15 175w41 192w22 194w0
88 : 24w25 127w9 181w36 182w59
89 : 62w8 64w23 132w84 183w4
90 : 26w53 99w18 163w61 187w88
91 : 36w58 38w9 53w95 137w54
92 : 32w16 126w74 128w25 136w20
93 : 42w49 49w85 98w71 134w40
94 : 71w35 152w47 165w8 190w30
95 : 58w22 82w99 84w81 117w20
96 : 86w54 117w100 187w9 197w4
97 : 1w55 22w57 66w49 144w32
98 : 9w34 36w98 58w34 93w71
99 : 59w19 90w18 121w9 174w51
100 : 14w98 21w95 59w83 133w29
101 : 8w4 12w65 23w71 199w68
102 : 10w24 37w74 80w28 143w59
103 : 32w34 114w76 149w40 186w7
104 : 130w1 152w27 181w94 197w59
105 : 37w31 117w10 146w5 162w61
106 : 71w78 85w15 137w68 165w54
107 : 1w5 63w51 122w92 127w68
108 : 25w15 47w7 86w44 188w67
109 : 1w18 8w72 54w60 123w72
110 : 83w10 120w90 168w9 196w59
111 : 43w90 65w96 112w69 199w86
112 : 33w31 111w69 138w100 185w96
113 : 28w36 42w94 50w39 124w45
114 : 103w76 136w22 174w80 178w49
115 : 22w60 69w20 75w58 188w89
116 : 55w55 68w60 146w93 164w22
117 : 95w20 96w100 105w10 131w3
118 : 3w40 24w90 74w49 176w40
119 : 3w1 49w56 171w50 177w67
120 : 4w95 60w95 110w90 151w73
121 : 57w37 99w9 137w88 196w2
122 : 69w3 107w92 159w84 170w31
123 : 109w72 130w30 137w96 143w69
124 : 6w40 74w66 113w45 192w100
125 : 19w70 38w43 139w94 169w62
126 : 6w0 52w64 92w74 155w19
127 : 88w9 107w68 140w91 148w26
128 : 18w66 68w23 75w57 92w25
129 : 6w1 27w3 169w26 183w28
130 : 30w79 77w10 104w1 123w30
131 : 117w3 168w29 180w87 190w38
132 : 41w20 79w78 89w84 185w69
133 : 10w40 22w31 100w29 160w72
134 : 4w97 93w40 150w17 180w98
135 : 35w74 61w76 153w30 190w25
136 : 69w90 92w20 114w22 173w97
137 : 91w54 106w68 121w88 123w96
138 : 112w100 142w63 156w86 167w90
139 : 44w16 54w44 125w94 186w86
140 : 3w35 78w84 127w91 161w23
141 : 2w1 3w23 144w56 168w97
142 : 72w15 138w63 172w51 180w2
143 : 86w85 102w59 123w69 189w40
144 : 5w53 97w32 141w56 191w7
145 : 11w34 15w50 52w73 191w18
146 : 19w44 105w5 116w93 166w79
147 : 27w65 34w52 75w82 85w48
148 : 52w58 79w61 127w26 167w79
149 : 12w68 103w40 168w35 183w95
150 : 55w62 70w52 134w17 157w95
151 : 46w8 120w73 177w41 184w88
152 : 64w58 73w24 94w47 104w27
153 : 48w39 84w75 135w30 174w28
154 : 17w53 44w47 171w17 192w93
155 : 35w90 75w5 126w19 157w52
