# Undirected 3-regular random graph, seed 27
n = 300
0 : 19w78 85w24 224w57 278w3
1 : 87w60 235w80 274w49 288w6
2 : 20w44 141w77 265w53 280w27
3 : 77w88 160w69 174w39 289w32
4 : 43w43 111w64 272w86 298w19
5 : 21w27 44w56 171w52 235w37
6 : 73w24 128w41 166w39 289w82
7 : 58w6 134w13 226w81 261w60
8 : 31w92 74w34 191w84 275w71
9 : 33w0 107w13 116w75 261w93
10 : 129w64 136w60 171w30 299w9
11 : 38w41 120w26 139w52 221w39
12 : 111w52 154w48 170w99 171w7
13 : 47w35 230w16 237w6 258w86
14 : 63w100 105w95 159w50 252w65
15 : 56w65 176w6 226w94 244w44
16 : 259w73 263w8 272w73 285w44
17 : 111w18 157w84 166w92 262w59
18 : 169w12 225w85 277w31 281w44
19 : 0w78 223w43 279w70 282w62
20 : 2w44 79w12 203w84 270w59
21 : 5w27 55w86 122w18 178w13
22 : 90w62 97w80 146w76 233w29
23 : 53w67 124w80 209w78 245w74
24 : 59w57 151w20 213w3 276w41
25 : 49w94 132w45 192w68 299w43
26 : 64w47 184w11 289w3 290w45
27 : 82w6 164w4 181w76 217w81
28 : 91w12 97w20 119w16 281w12
29 : 31w14 134w66 176w85 209w17
30 : 130w35 194w64 244w67 249w33
31 : 8w92 29w14 160w28 207w80
32 : 52w52 63w28 158w97 184w60
33 : 9w0 128w26 136w4 168w41
34 : 37w22 48w58 107w16 238w75
35 : 41w74 70w27 133w32 227w25
36 : 183w82 225w31 245w63 283w56
37 : 34w22 72w3 116w11 146w74
38 : 11w41 57w23 84w12 212w87
39 : 42w36 51w95 251w71 287w85
40 : 150w13 166w4 173w24 254w67
41 : 35w74 129w77 171w36 239w10
42 : 39w36 203w82 239w47 253w33
43 : 4w43 214w0 216w72 259w81
44 : 5w56 56w60 64w73 122w87
45 : 71w46 72w63 148w94 222w32
46 : 72w78 95w22 154w28 188w80
47 : 13w35 100w6 244w74 270w98
48 : 34w58 149w25 204w9 274w10
49 : 25w94 89w35 264w30 295w28
50 : 214w74 245w95 256w92 297w34
51 : 39w95 71w67 204w52 267w98
52 : 32w52 95w39 140w74 161w4
53 : 23w67 101w50 137w43 143w33
54 : 67w13 87w25 139w83 224w21
55 : 21w86 114w54 258w31 291w96
56 : 15w65 44w60 61w6 242w90
57 : 38w23 215w48 220w95 299w97
58 : 7w6 202w82 228w45 272w68
59 : 24w57 137w51 172w65 216w49
60 : 106w86 121w11 186w35 198w27
61 : 56w6 75w18 89w30 90w70
62 : 103w14 123w45 188w7 273w34
63 : 14w100 32w28 210w74 212w24
64 : 26w47 44w73 133w67 238w97
65 : 69w77 105w36 142w9 201w45
66 : 119w54 256w54 272w80 290w49
67 : 54w13 96w36 186w20 299w63
68 : 144w28 158w0 183w2 190w91
69 : 65w77 220w54 281w97 283w65
